BLOCK_TIMESTAMP,FROM_ADDRESS,TO_ADDRESS,VALUE,TRANSACTION_HASH,NONCE,FROM_ADDRESS_BLOCKCHAIN,TO_ADDRESS_BLOCKCHAIN,GAS,RECEIPT_GAS_USED
2023-08-29 13:26:23+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0,0xbf46281cd9c6d8877358fdfa85c97768d79d1efbbe2fb4c1dad44b0448a0904c,3,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,97449,97449
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,270,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,119,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,291,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,319,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,331,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,441,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,25,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,376,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,54,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,304,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,9,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,337,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,473,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
2023-08-29 13:29:59+00:00,0x0000000000000000000000000000000000000000,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,26,0xbfb4b7b596381c4f41ce787d324acfa3e9dd5941d74ef1b5b9ecca3bf213cb38,5,0xbdbc5579a40cae8f8df4d3199a6345724907fd1d,0xa90b7861b734784e5eaf87bcd079b1edfed24555,1025895,1025895
